Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
2007,12,1.6440697273084754,0.7272727272727284,0.5613577023498695,1,1,1,1,1,-0.32317068849928104,-0.9473063119396042,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,733,-0.8312777671369722,1.0823350285949045,830.4501456942901,-0.39576753478930327
2008,12,-0.9347122399083768,0.7272727272727284,0.8955613577023498,2,1,1,1,1,2.371449240653757,2.021436099146718,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,960,2.219204120254629,-0.21133282893179414,830.170351159628,-0.5087665503749264
2006,1,0.5663698007103879,0.7272727272727284,0.7702349869451697,1,1,1,1,2,0.4253625102075096,-0.7414422630474359,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,834,-0.43260749462770776,0.6836019571415972,829.9751599074528,-0.09586987437439029
2003,1,-0.8192443906300103,0.7272727272727284,0.5195822454308094,4,1,1,1,1,1.0436488025752253,-0.9578711258165231,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,576,-0.0017225027854841368,0.17094515098734528,827.7883939547357,-0.1224110021535163
2000,14,-0.3573729935165442,0.7272727272727284,0.5822454308093994,8,1,1,1,1,2.371449240653757,-0.44972151684189793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,519,0.7936062880308766,0.34183075303876265,824.9140420629251,-0.03230792810747729
1997,12,0.4509019514320214,0.7272727272727284,0.4986945169712793,11,1,1,1,1,0.3641751766033305,-0.9237489505647747,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0.39684860570585617,0.30132397722245796,822.6784074684584,-0.11534856367941482
1984,1,2.5293232384426187,0.7272727272727284,0.5613577023498695,6,11,1,1,1,0.23873207149732817,-0.8634724634191049,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,582,-0.5621272766666263,4.486388847817874,819.2331644450187,-0.0584267012726635
1981,1,-0.2803944273309666,0.7272727272727284,0.6866840731070496,13,5,1,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,2.485429925550358,1.6009209194971004,815.3221178511606,-0.17891050994632784
1980,1,0.9127733485454874,0.7272727272727284,0.2898172323759791,9,4,1,1,1,2.371449240653757,-0.07179135910182717,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,880,0.6611515879936305,1.7347230832674865,816.6386070878701,-0.3039558346259846
1979,8,0.9512626316382763,0.7272727272727284,0.8746736292428199,5,2,2,2,2,1.4023444600007298,0.7354032582778476,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,64,0.6024214267229644,1.1336589337135539,817.4114921389512,-0.5017041119008249
