Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
2019,8,-0.1264372949598112,1.3362311667551918,-0.029379527366926807,4,1,2,1,1,0.6902381153076168,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0.8544488121809477,0.5666042325760832,834.5713366342634,0.0020334271149325955
2018,1,-0.7037765413516438,1.3362311667551918,0.06304525396827329,1,1,1,1,1,-0.8796780461257396,-0.0517504469456396,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,938,-0.6809559828578675,0.3529972300118119,835.148776142861,-0.39973875291931904
2018,14,0.6433483668959656,1.3362311667551918,0.06304525396827329,1,3,2,1,1,-0.7058183039612803,-0.9442359387361899,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-0.988936514852427,1.4667181857199942,835.148776142861,-0.06239791940267958
2013,12,1.4516233118445312,1.3362311667551918,0.06304525396827329,1,1,1,1,1,-0.8681260479223981,-0.05171433651912221,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,239,-0.6761414482983784,1.1504633729184246,833.0792762196104,0.30812412575324755
2012,8,-0.2803944273309666,1.3362311667551918,-0.12180430870212691,3,3,2,1,1,0.12142939803751802,-0.9582863629297905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,395,-0.6512511538315109,1.1249469816171602,832.0405225303194,-0.33723848316267013
2011,6,0.02751983741134415,1.3362311667551918,1.541841755331475,4,1,1,1,1,-0.1216042930816724,-0.8271170383854816,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,398,-0.6963372606008107,0.6235660999265555,830.8006357986263,-0.8997409109725102
2010,8,0.3354341021536549,1.3362311667551918,0.1554700353034734,5,1,1,1,1,-0.39760199955884457,-0.8320557740079838,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,375,-0.8131014404548702,0.7374898346275002,830.4527215156619,-0.4309888877976435
2019,9,0.3739233852464437,1.3362311667551918,0.06304525396827329,1,1,1,1,1,-0.8554539515661891,-0.051666059017201366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,528,-0.6708563979219395,0.7517303014651182,835.5626761275112,-0.39973875291931904
2005,1,-0.3958622766093331,1.3362311667551918,0.06304525396827329,1,1,1,1,1,-0.678013050518618,-0.04953626504704087,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82,-0.5962332034572906,0.46692096471275657,829.7680763424095,-0.39973875291931904
2009,1,1.1821983301950094,1.3362311667551918,-0.8612025593837277,8,4,1,1,1,2.371449240653757,1.4938044664484273,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,379,1.7009701153324204,1.9737370296424221,829.3177767191967,-0.08723740413607461
2004,14,-0.5498194089804884,1.3362311667551918,0.9872930673202743,1,2,4,1,1,2.371449240653757,-0.2685476475627153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,263,0.5773312402320019,0.7176114055580589,829.0838816763264,-0.7122401017025635
2001,12,-0.010969445681444688,1.3362311667551918,-0.8612025593837277,2,2,1,1,1,1.7865381264342926,-0.2925829939925936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0.6175541153007729,0.6320170772305954,827.7868138494291,-0.08723740413607461
